[2026-04-19 15:21:38] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 15:22:15] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:17] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:19] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:27] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:29] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:31] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:36] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:38] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:40] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:42] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:45] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:22:47] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:24:40] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:24:42] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:26:41] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:26:43] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:27:02] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:27:04] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:27:20] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:27:22] ALERT | Model=Drowsy | EAR:0.287 | Model:Drowsy | Emotion:sad
[2026-04-19 15:32:08] ALERT | Model=Drowsy | EAR:0.275 | Model:Drowsy | Emotion:neutral
[2026-04-19 15:32:11] ALERT | EAR=0.196<0.22 | EAR:0.196 | Model:Awake | Emotion:sad
[2026-04-19 15:32:14] ALERT | EAR=0.174<0.22 | EAR:0.174 | Model:Awake | Emotion:sad
[2026-04-19 15:32:16] ALERT | EAR=0.144<0.22 | EAR:0.144 | Model:Awake | Emotion:sad
[2026-04-20 08:55:51] ALERT | Model=Drowsy | EAR:0.126 | Model:Drowsy | Emotion:sad
[2026-04-20 08:56:08] ALERT | Model=Drowsy | EAR:0.360 | Model:Drowsy | Emotion:sad
[2026-04-20 08:56:10] ALERT | Model=Drowsy | EAR:0.299 | Model:Drowsy | Emotion:sad
[2026-04-20 08:56:12] ALERT | Model=Drowsy | EAR:0.338 | Model:Drowsy | Emotion:sad
[2026-04-20 08:56:54] ALERT | EAR=0.151<0.22 | EAR:0.151 | Model:Awake | Emotion:sad
[2026-04-20 08:56:56] ALERT | EAR=0.167<0.22 | EAR:0.167 | Model:Awake | Emotion:surprise
[2026-04-20 08:56:58] ALERT | EAR=0.160<0.22 | EAR:0.160 | Model:Awake | Emotion:surprise
[2026-04-20 08:57:01] ALERT | EAR=0.198<0.22 | EAR:0.198 | Model:Awake | Emotion:sad
[2026-04-20 08:58:08] ALERT | EAR=0.130<0.22 | EAR:0.130 | Model:Awake | Emotion:sad
[2026-04-20 09:48:37] ALERT | EAR=0.211<0.22 | EAR:0.211 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:47] ALERT | EAR=0.218<0.22 | EAR:0.218 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:49] ALERT | EAR=0.187<0.22 | EAR:0.187 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:51] ALERT | EAR=0.185<0.22 | EAR:0.185 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:54] ALERT | EAR=0.180<0.22 | EAR:0.180 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:56] ALERT | EAR=0.194<0.22 | EAR:0.194 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:48:59] ALERT | EAR=0.095<0.22 | EAR:0.095 | Model:Initializing... | Emotion:neutral
[2026-04-20 09:49:02] ALERT | EAR=0.130<0.22 | EAR:0.130 | Model:Awake | Emotion:sad
[2026-04-20 09:49:18] ALERT | EAR=0.172<0.22 | EAR:0.172 | Model:Awake | Emotion:sad
[2026-04-20 09:49:21] ALERT | EAR=0.173<0.22 | EAR:0.173 | Model:Awake | Emotion:fear
[2026-04-20 09:50:03] ALERT | EAR=0.130<0.22 | EAR:0.130 | Model:Awake | Emotion:sad
[2026-04-20 10:03:40] ALERT | Model=Drowsy | EAR:0.291 | Model:Drowsy | Emotion:sad
[2026-04-20 10:03:42] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:surprise
[2026-04-20 10:03:47] ALERT | EAR=0.153<0.22 | EAR:0.153 | Model:Awake | Emotion:sad
[2026-04-20 10:03:49] ALERT | EAR=0.171<0.22 | EAR:0.171 | Model:Awake | Emotion:sad
[2026-04-20 10:03:55] ALERT | EAR=0.158<0.22 | EAR:0.158 | Model:Awake | Emotion:sad
[2026-04-20 10:03:57] ALERT | EAR=0.152<0.22 | EAR:0.152 | Model:Awake | Emotion:sad
[2026-04-20 10:03:59] ALERT | EAR=0.125<0.22 | EAR:0.125 | Model:Awake | Emotion:sad
[2026-04-20 10:04:01] ALERT | EAR=0.137<0.22 | EAR:0.137 | Model:Awake | Emotion:sad
[2026-04-20 10:04:03] ALERT | EAR=0.159<0.22 | EAR:0.159 | Model:Awake | Emotion:sad
[2026-04-20 10:04:05] ALERT | EAR=0.175<0.22 | EAR:0.175 | Model:Awake | Emotion:sad
[2026-04-20 10:04:07] ALERT | EAR=0.084<0.22 | EAR:0.084 | Model:Awake | Emotion:sad
[2026-04-20 10:04:09] ALERT | EAR=0.090<0.22 | EAR:0.090 | Model:Awake | Emotion:sad
[2026-04-20 10:04:19] ALERT | EAR=0.071<0.22 | EAR:0.071 | Model:Awake | Emotion:fear
[2026-04-20 10:04:21] ALERT | Model=Drowsy | EAR:0.302 | Model:Drowsy | Emotion:sad
